longitude,latitude,ground_speed
72.93392,20.378684,8.333333
72.933556,20.378564,3.055556
72.93036,20.377953,5
72.928031,20.377167,0
72.928031,20.377167,6.388889
72.927467,20.377336,6.111111
72.926978,20.377462,5
72.926356,20.377442,6.944444
72.925773,20.37728,6.111111
72.924231,20.37638,5
72.923751,20.376167,3.055556
72.921867,20.375558,1.944444
72.920547,20.37502,0
72.920298,20.374887,3.888889
72.919916,20.37472,4.166667
72.919533,20.374238,3.611111
72.921218,20.371771,4.166667
72.921311,20.371536,3.333333
72.922569,20.369684,0
72.922898,20.368922,9.444444
72.92272,20.367116,10.277778
72.920929,20.364078,10
72.917533,20.360627,12.222222
72.916742,20.359813,11.944444
72.91596,20.359004,12.222222
72.912729,20.355618,0
72.912729,20.355618,11.944444
72.91192,20.354789,12.777778
72.90928,20.351976,8.611111
72.908533,20.350196,12.777778
72.908569,20.34896,14.166667
72.909004,20.347647,15
72.910302,20.344187,12.222222
72.910418,20.342053,11.944444
72.909849,20.34116,11.111111
72.909098,20.340458,11.111111
72.907533,20.338951,0
72.906747,20.338184,11.944444
72.906076,20.337278,12.5
72.905844,20.336169,12.222222
72.905662,20.333924,11.666667
72.904844,20.329867,11.666667
72.904009,20.325696,12.222222
72.903831,20.324582,12.222222
72.903138,20.320336,0
72.903138,20.320336,12.5
72.902924,20.319211,12.777778
72.902449,20.316111,8.888889
72.901893,20.312036,13.333333
72.901711,20.310869,12.5
72.901031,20.306182,6.666667
72.901,20.305218,0
72.900969,20.304929,3.333333
72.900911,20.304118,0
